no,name,code,gu,zip,tel,fax,www,hr,off,class,lati,longi,year
2031,예샘 작은도서관,25,구로구,서울특별시 구로구 구로중앙로6길 40 3층,실무자 핸드폰 번호,,,,없음,작은도서관,37.500176,126.865882,
310,오류1동 도서관,25,구로구,서울특별시 구로구 경인로 221 오류1동주민센터,02-2620-7853,,http://lib.guro.go.kr,,토 일 법정공휴일,작은도서관,37.49756,126.845121,19940715
311,오류2동 도서관,25,구로구,서울특별시 구로구 오리로 10길 44-5 오류2동주민센터,070-4065-6523,,http://lib.guro.go.kr,,토일요일 법정공휴일,작은도서관,37.4892992,126.839481,19930429
72,오류도서관,25,구로구,서울특별시 구로구 경인로19길 29-6,02-2613-8983,,oryulibrary.or.kr/,,일요일을 제외한 국가 공휴일,공공도서관,37.497134,126.842075,19780701
2032,오류동 제일교회 작은도서관,25,구로구,서울특별시 구로구 오류로8나길 9-5,02-2625-9380,,,,월요일 일요일 법정공휴일,작은도서관,37.49070294,126.8419837,
324,오류문고,25,구로구,서울특별시 구로구 경인로8길 75 삼천리아파트,,,,,법정공휴일,작은도서관,37.493093,126.839312,20100526
1862,옹달샘작은도서관,25,구로구,서울특별시 구로구 천왕로 56(천왕동 천왕이펜하우스3단지),,,,,-,작은도서관,37.481259,126.838714,
1613,우리들 작은도서관,25,구로구,서울특별시 구로구 천왕로 42 쿠앤하우스 2층,070-4465-4211,,,,,작은도서관,37.4812518,126.8389749,
1293,은성도서관,25,구로구,서울특별시 구로구 고척로23길 20 은성교회,02-2614-0416,,,,매주 월요일 일요일,작은도서관,37.5029753,126.84642,20130413
326,이니텍도서관,25,구로구,서울특별시 구로구 벚꽃로 484 화원종합사회복지관,02-837-0761,,,,토요일일요일 법정공휴일,작은도서관,37.4985514,126.880194,20110722
1866,이룸작은도서관,25,구로구,서울특별시 구로구 고척로 33길 48,,,,,-,작은도서관,37.504715,126.848368,
1507,중앙하이츠도서관,25,구로구,서울특별시 구로구 구로동로47길 24 구로중앙하이츠아파트 복지관 2층,02-854-6751,02-854-6752,,,일요일,작은도서관,37.4992306,126.880799,20131115
2033,지혜의 숲 작은도서관,25,구로구,서울특별시 구로구 구로동로205,실무자 핸드폰 번호,,,,없음,작은도서관,37.49700653,126.8822513,
1508,참새소풍 작은도서관(천왕2단지),25,구로구,서울특별시 구로구 천왕로 92 천왕이펜하우스2단지,02-2611-2013,,,,토요일일요일,작은도서관,37.4848951,126.83849,20130620
1614,책향기 작은도서관,25,구로구,서울특별시 구로구 고척로 18길 92 오류동 감리교회 별관,070-7091-6719,,,,,작은도서관,37.4977451,126.8450313,
2034,천왕7단지 작은도서관,25,구로구,서울특별시 구로구 천왕로21 701동 1층,실무자 핸드폰 번호,,,,월요일,작은도서관,37.47917673,126.8389283,
1509,코딱지 도서관,25,구로구,서울특별시 구로구 신도림로11길8 4층 코딱지도서관,02-2068-1388,,,,매주 일요일,작은도서관,37.5085918,126.880066,20140515
2037,코비나 작은도서관,25,구로구,서울특별시 구로구 가마산로26길 27 201호,02-561-8284,,,,월요일 토요일 일요일 법정공휴일,작은도서관,37.495056,126.891826,
2036,쿵짝쿵짝공작소 작은도서관,25,구로구,서울특별시 구로구 부일로17길 24-3,실무자 핸드폰 번호,,,,토요일 일요일 법정공휴일,작은도서관,37.49443346,126.8343451,
1297,큐브 북카페,25,구로구,서울특별시 구로구 경인로 662 B동 30층 (디큐브시티),02-3667-9001,,,,목요일만 운영,작은도서관,37.5083379,126.888429,20130329
1296,파크푸르지오 도서관,25,구로구,서울특별시 구로구 중앙로 121 105동(고척파크푸르지오),,,,,화수목토일요일,작은도서관,37.5076005,126.858158,20130307
1510,푸른꿈북카페,25,구로구,서울특별시 구로구 공원로8길 30 신성교회 푸른꿈북카페,02-862-4291,02-830-6424,,,토요일일요일,작은도서관,37.5033408,126.891219,20141202
1511,푸른꿈작은도서관,25,구로구,서울특별시 구로구 도림로 14길 15 은광교회,,,,,토요일만 운영,작은도서관,37.4875497,126.889595,20140807
1867,하나비전센터 작은도서관,25,구로구,서울특별시 구로구 구로동로8길 7,,,,,-,작은도서관,37.486176,126.885805,
881,하늘도서관,25,구로구,서울특별시 구로구 구로동로13길 68,02-864-9585/6,02-864-9587,http://lib.guro.go.kr,,매주 화요일 및 법정 공휴일,공공도서관,37.487433,126.880918,20100402
1512,하늘마루 작은도서관(천왕5단지),25,구로구,서울특별시 구로구 천왕로 10 천왕이펜하우스5단지,02-2165-6155,,,,토요일일요일,작은도서관,37.4804612,126.841866,20130509
1711,한국산업기술시험원 도서관,25,구로구,서울특별시 구로구 디지털로26길 87,02-860-1201,,,,토요일 일요일 법정공휴일,,37.481556,126.896106,
320,한우리독서문화원,25,구로구,서울특별시 구로구 개봉로24길 29 원진연립,02-2619-1923,,,,토 일 공휴일,작은도서관,37.4968046,126.85859,20040402
317,행복한작은도서관,25,구로구,서울특별시 구로구 개봉로12길 9-30,02-2625-5279,2615-9061,cafe.daum.net/hasoly,,토요일 일요일 공휴일,작은도서관,37.4900628,126.856996,20021126
2035,향기나는 작은도서관,25,구로구,서울특별시 구로구 경인로47가길 7 2층,02-6449-3339,,,,월요일 일요일 법정공휴일,작은도서관,37.50169525,126.8652801,
2027,흥부네 작은도서관 ,25,구로구,서울특별시 구로구 고척로1길 30,02-2060-1742,,,,일요일 법정공휴일 ,작은도서관,37.4949842,126.8390707,
62,금천구립가산도서관,6,금천구,서울특별시 금천구 가산로5길 43,02-865-6817~9,02-865-6820,http://geumcheonlib.seoul.kr,,매월 두번째 네번째 월요일 및 법정 공휴일,공공도서관,37.47345,126.892127,20070409
101,금천구립금나래도서관,6,금천구,서울특별시 금천구 시흥대로73길 70,02-2627-2992,02-2627-2995,http://geumcheonlib.seoul.kr,,없음,공공도서관,37.456767,126.895401,20081101
42,금천구립독산도서관,6,금천구,서울특별시 금천구 독산로54길 114,02-863-9544,02-863-9548,http://geumcheonlib.seoul.kr,,첫째셋째월요일,공공도서관,37.467448,126.90805,19990226
1379,금천구립시흥도서관,6,금천구,서울특별시 금천구 금하로 765,02-809-8242,01-809-8246,http://geumcheonlib.seoul.kr,,첫째 셋째 금요일 및 법정 공휴일,공공도서관,37.4496331,126.914463,20131021
1615,금천문화복지도서관,6,금천구,서울특별시 금천구 가산로 61,02-839-1155,,,,법정공휴일,작은도서관,37.4718744,126.8959297,
339,꿈꾸는 작은도서관,6,금천구,서울특별시 금천구 시흥대로18길 40 시흥3동주민센터 3층,02-2104-5688,2627-2577,,,주말 법정공휴일,작은도서관,37.4415638,126.905783,19950301
336,꿈씨어린이 작은도서관,6,금천구,서울특별시 금천구 독산로 232,02-2104-5625,859-7896,cafe.daum.net/dschildlib,,일 법정공휴일,작은도서관,37.468424,126.902144,19950301
2040,꿈을키우는 작은도서관,6,금천구,서울특별시 금천구 독산로 159,02-6405-6565,,,,주말 법정공휴일,작은도서관,37.46160245,126.9043887,
345,나누리 작은도서관,6,금천구,서울특별시 금천구 금하로23길 40 금화빌딩 3층,02-892-0109,894-7991,http://cafe.daum.net/nanurylibrary,,주말 법정공휴일,작은도서관,37.4533423,126.908912,20020202
340,도란도란 작은도서관,6,금천구,서울특별시 금천구 독산로36길 14 시흥4동주민센터 3층,02-6053-5647,,http://cafe.daum.net/sh4dong/,,일요일법정공휴일,작은도서관,37.4595118,126.906161,19950301
2025,롯데캐슬1차 작은도서관,6,금천구,서울특별시 금천구 벚꽃로40,070-4405-8780,,,,일 법정공휴일,작은도서관,37.46005722,126.8928436,
337,맑은누리 작은도서관,6,금천구,서울특별시 금천구 시흥대로58길 36 시흥1동주민센터 5층,02-2104-5649,802-6931,,,주말 법정공휴일,작은도서관,37.4540979,126.903242,19950301
334,미래향기 작은도서관,6,금천구,서울특별시 금천구 독산로179 독산2동주민센터 1층,02-2104-5584,809-2891,,,일 법정공휴일,작은도서관,37.46314785,126.9034825,19950301
346,산돌어린이도서관,6,금천구,서울특별시 금천구 시흥대로75길 12 산돌문화센터 2층,02-808-7902,,,,월 법정공휴일,작은도서관,37.4586794,126.898411,20041009
1869,소망의 나무 어린이 작은도서관,6,금천구,서울특별시 금천구 금하로 11길 14,02-804-9596,,,,법정공휴일,작은도서관,37.454508,126.9038,
342,은행나무어린이도서관,6,금천구,서울특별시 금천구 탑골로 43-8,02-892-7894,,http://cafe.daum.net/eunhaengchildlib,,월 법정공휴일,작은도서관,37.4533573,126.91374,20020908
343,지혜의숲 작은도서관,6,금천구,서울특별시 금천구 시흥대로90길 25 신일교회 1층,070-4192-5822,892-2595,,,토 법정공휴일,작은도서관,37.462055,126.8993,20060327
1300,참새 작은도서관,6,금천구,서울특별시 금천구 한내로 69-15 (주공13단지아파트),02-895-8240,895-8240,,,24주월 법정공휴일,작은도서관,37.4576741,126.886965,20130401
1515,책이든거리 작은도서관,6,금천구,서울특별시 금천구 범안로 1130 독산역2번출구앞,02-853-3327,,,,주말 법정공휴일,작은도서관,37.46551976,126.8876722,20131008
348,책읽는마을 작은도서관,6,금천구,서울특별시 금천구 독산로74길 31,02-858-9919,856-5024,,,주말 법정공휴일,작은도서관,37.469191,126.904095,20070510
341,책읽는주민사랑방 작은도서관,6,금천구,서울특별시 금천구 금하로21길 20 시흥5동주민센터 2층,02-2104-5729,,,,일 법정공휴일,작은도서관,37.4533482,126.908302,19950301
1298,청개구리 작은도서관,6,금천구,서울특별시 금천구 독산로 317 독산3동주민센터 3층,02-857-4183,,http://cafe.daum.net/greenfroglib,,일 법정공휴일,작은도서관,37.4763886,126.903246,20120116
2039,트리니티 작은도서관,6,금천구,서울특별시 금천구 시흥대로 72길 13 시흥중앙성결교회 1층,02-802-5390,,,,법정공휴일,작은도서관,37.45717329,126.9002893,
1712,한국대학교육협의회 문헌정보실,6,금천구,서울특별시 금천구 서부샛길 606 대성디폴리스 A동 22~23층,02-6919-3902,,http://library.kcue.or.kr,,토요일 일요일 법정공휴일,,37.479346,126.87681,
333,해오름 작은도서관,6,금천구,서울특별시 금천구 시흥대로123길 11 독산1동 주민센터 4층,02-2104-5569,,,,일 법정공휴일,작은도서관,37.4707415,126.897014,19950301
370,가온 작은도서관,22,노원구,서울특별시 노원구 노원로530 상계10동주민센터,02-2116-2942,2116-4689,,,일요일 법정공휴일,작은도서관,37.6618898,127.060222,19970501
356,가재울 작은도서관,22,노원구,서울특별시 노원구 노원로261 하계1동주민센터,02-2116-2552,,http://www.nowonlib.kr/,,일 법정공휴일,작은도서관,37.6414387,127.072573,19960501
1070,공릉청소년문화정보센터 화랑도서관,22,노원구,서울특별시 노원구 노원로1나길 10,02-973-1318,02-976-1318,http://lib.gycenter.or.kr/,,2 4주 월요일 법정공휴일,공공도서관,37.621472,127.083021,20110224
1826,공릉행복발전소 공릉도서관,22,노원구,서울특별시 노원구 동일로179길 22,02-976-3820,,http://www.nowonlib.kr/,,매주 일요일 법정공휴일,공공도서관,37.622082,127.072823,20160616
1713,국민체육진흥공단 한국스포츠개발원 도서관,22,노원구,서울특별시 노원구 화랑로 727 국민체육진흥공단 한국스포츠개발원,02-970-9524,,http://library.sports.re.kr/,,토요일 일요일 법정공휴일,,37.633567,127.096797,
1303,글빛작은도서관,22,노원구,서울특별시 노원구 중계로 144 민호프라자 4층,02-938-1695,938-1695,,,일요일,작은도서관,37.6480842,127.080844,20120405
377,금빛도서관,22,노원구,서울특별시 노원구 상계로26길 20 대동청솔아파트 상가3층,02-939-7712,932-0691,,,없음,작은도서관,37.658063,127.071083,20080926
351,꿈꾸는작은도서관,22,노원구,서울특별시 노원구 석계로 59 월계1동주민센터,02-2116-2402,2116-4671,,,일요일 법정공휴일,작은도서관,37.6205375,127.062959,19980101
1451,노원문화원작은도서관,22,노원구,서울특별시 노원구 동일로 197길 24 노원문화원 2층,02-948-1245,02-938-1247,www.nwcc.or.kr,,일요일,작은도서관,37.6300176,127.069783,20090827
36,노원어린이도서관,22,노원구,서울특별시 노원구 한글비석로 346,02-933-7145,02-933-7133,http://www.nowonilib.kr,,매주 화요일 및 법정 공휴일,공공도서관,37.658174,127.076629,20030220
37,노원정보도서관,22,노원구,서울특별시 노원구 노원로34길 43,02-950-0050,02-950-0059,http://www.nowonlib.kr,,매월 첫째셋째 월요일 및 법정 공휴일(일요일제외),공공도서관,37.661219,127.060182,20060215
352,달내 작은도서관,22,노원구,서울특별시 노원구 초안산로5길 28 월계2동주민센터,02-2116-2432,2116-4672,,,일요일 법정공휴일,작은도서관,37.6331284,127.050747,19971220
354,도란도란작은도서관,22,노원구,서울특별시 노원구 동일로 186길 3-24 공릉1동주민센터,02-2104-5706,2116-4674,,,주말 법정공휴일,작은도서관,37.6262467,127.073827,19970101
371,메아리작은도서관,22,노원구,서울특별시 노원구 동일로217길 48 노원평생교육원 1층,02-2116-4744,2116-4686,http://www.nowonlib.kr/,,일요일 법정공휴일,작은도서관,37.6536432,127.057981,20110101
368,반디작은도서관,22,노원구,서울특별시 노원구 동일로 227길 97 상계8동주민센터,02-2116-2882,2116-4687,http://www.nowonlib.kr/,,일요일 법정공휴일,작은도서관,37.6673912,127.051538,19951005
1717,북서울미술관 아트도서실,22,노원구,서울특별시 노원구 동일로 1238,02-2124-5281 ,,http://sema.seoul.go.kr/library/seoul_menu/subpage_01/sub04.php,,일요일 월요일 법정공휴일 ,,37.639326,127.067631,
2132,불암도서관,22,노원구,서울특별시 노원구 중계로 106,02-935-0721,,http://www.nowonlib.kr,,매주월요일 및 법정 공휴일(일요일제외),공공도서관,37.645255,127.08283,
1302,삼창도서관,22,노원구,서울특별시 노원구 한글비석로15길 14-34  삼창교회,02-952-2447,930-5583,,,매주 토요일일요일,작은도서관,37.6589469,127.07372,20110701
877,상계문화정보도서관,22,노원구,서울특별시 노원구 동일로243길 57,02-3391-7882,02-3391-0990,http://www.sglib.kr,,매달 둘째 넷째 월요일 관공서의 휴관일(토․일요일이 법정공휴일과 겹칠 경우),공공도서관,37.678418,127.05185,
 <p>,,,,,,,,,,,,,
" 	&nbsp;</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	상계문화정보도서관은</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	단순히 책을 빌려주는 곳이 아니라</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	지역 주민들의 문화 및 교육복지 향상 그리고 지역정보격차 해소를 위한 복합문화공간입니다.</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	&nbsp;</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	이용자 편의를 최우선으로 하는 유비쿼터스 도서관으로</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	지역 커뮤니티의 구심체 역할을 하는 Library 2.0 도서관으로</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	주민 여러분들과 함께 만들어 가겠습니다.</p>",,,,,,,,,,,,,
" """,20120329,"● 대상  - 서울특별시민(주민등록상 거주지가 서울특별시로 되어 있는 자)  - 타 시/도 거주자 중 서울시 소재 직장 재직 또는 재하가  - 외국인등록증 및 외국국적동포국내거소신고증    ● 구비서류  - 신분증(현 주소지 확인이 가능한 주민드옥증/운전면허증)  - 타 시/도 거주자 중 서울 소재 직장 재직ㅈ 및 학교 재학생의 경우 : 재직증명서 또는 재학증명서  - 18세 미만의 경우 : 학생증 + 주민등록등본    * 학생증으로 주소지 확인이 불가능한 경우 주민등록등본 지참    * 홈페이지 회원가입시 보호자 동의 필요  ● 보호자의 대리 가입(가족에 한해 발급)  - 보호자 신분증  - 가입자 증명사진  - 가족관계를 증명할 수 있는 서류(주민등록등본 가족관계증명서)  ● 발급비용  - 1회당 1000원 ","● 대출자격 노원구 구립도서관 회원  ● 대출가능권수 구립도서관 1인 3책 작은도서관 1인 3책  ● 대출기간 14일  ● 연장 도서 대출 다음날부터 1회에 한하여 7일간 연장가능 (단 다른 이용자가 예약한 자료는 연장 불가)  ● 예약 대출중인 자료에 대하여 홈페이지에서 예약 가능(1인 3책) 예약도서 도착 통보를 받은 후 3일 이내 도서관 방문 대출  ● 연체 반납일이 지난 도서의 연체 일수를 모두 합한 기간 동안 대출 정지  ● 가족 대출 '가족회원'으로 등록시 대리 대출 가능 (가족회원 등록은 각 도서관에서 가족관계를 증명할 수 있는 서류를 지참하여 등록) 가족회원 대출/반납 시 본인 회워나드는 반드시 지참(본인확인용)","주소 : 서울 노원구 동일로 243길 57(상계1동 1118-66번지)  전화 : 02-3391-7882  팩스 : 02-3391-0990   대중교통편  지하철 : 7호선 수락산역 5번 출구에서 동부간선도로 방향으로 도보 5분              1호선 도봉역 1번 출구에서 수락산 방향으로 도보 10분  버스    : [일반]7번 [일반]7-1번 [간선]146번 [지선]1139번 승차 후 '두산아파트 앞' 하차    지상 4대(장애우 주차 1명) 지하 7대 주차 가능(무료)  주차장이 협소하오니 대중교통을 이용하여 주시기 바랍니다.   7호선 수락산역 5번 출구에서 수락고가차도 방향으로 200M 직진","◆B1 다목적실 어린이와 청소년 및 성인들은 위한 문화프로그램 공간 -북스타트 운영 -각종 공연/강연/강좌 진행  ◆1F - 모자열람실 : 영·유아에게 적합한 도서를 부모와 함께 경험하는 공간 - 동아리실 : 다양한 분야의 동아리들이 소규모의 토론이나 회의를 할 수 있는 공간(14석) - 안내데스크 : 전반적인 도서관 안내 및 민원을 위한 공간  ◆2F - 어린이열람실 : 책과 친해질 수 있도록 편안한 분위기를 조성하여 아이들이 자유롭게 책을 읽을 수 있고 컴퓨터를 통해 정보를 누릴 수 있는 초등학교 어린이들의 공간 - 사무실 : 도서관의 원활한 운영을 위해 노력하는 직원들의 공간  ◆3F - 디지털종합자료실 : 폭넓은 장서구성으로 다양한 자료(신문 잡지포함)를 볼 수 있으며 컴퓨터 등을 활용하여 정보를 이용할 수 있는 공간 - 문화강좌실 : 강의식 수업 문화프로그램을 즐길 수 있는 공간  ◆4F - 일반열람실 : 최첨단 좌석배정시스템을 통한 자유로운 좌석 선택으로 개인공부를 할 수 있는 공간(126석) - 문화갤러리 : 그림책 원화를 비롯한 다양한 미술 작품의 전시공간  ◆5F - 하늘정원 : 농작물과 꽃 재배 경험을 통해 자연에 대해 알아가는 생태 프로그램 운영공간",,,,,,,,
1452,상계숲속작은도서관,22,노원구,서울특별시 노원구 동일로 227길 106 상계숲속작은도서관,02-3391-7889,02-3391-7881,www.nowonlib.kr,,없음,작은도서관,37.6707395,127.050305,20140331
376,상계주공14단지아파트 문화사랑방도서실,22,노원구,서울특별시 노원구 동일로228길 23 관리동 2층(상계주공14단지아파트),02-939-0652,939-0652,www.nowonlib.kr,,토요일 일요일 법정공휴일,작은도서관,37.6688143,127.058413,20040331
1618,샘물작은도서관,22,노원구,서울특별시 노원구 광운로 46 대동아파트상가 지하 107호,02-969-1346,,,,매주 월요일 일요일,작은도서관,37.6217305,127.060425,
70,서울점자도서관,22,노원구,서울특별시 노원구 동일로 1335,02-935-9696,02-931-7427,,,매주 토.일,장애인도서관,37.6479788,127.0622281,20011009
11,서울특별시교육청노원평생학습관,22,노원구,서울특별시 노원구 동일로204길 13,02-979-1741,02-977-9182,nwllc.sen.go.kr,,매월 둘째 넷째주 월요일,공공도서관,37.639326,127.067631,19900508
365,수락작은도서관,22,노원구,서울특별시 노원구 덕릉로 859 상계34동 주민센터,02-2116-4684,,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.673438,127.083162,20080101
357,열린작은도서관,22,노원구,서울특별시 노원구 공릉로55길 88 하계2동주민센터,02-2116-4677,,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6331927,127.067962,2010030
1871,원더풀도서관,22,노원구,서울특별시 노원구 초안산로 19 큰무리교회 지하 1층,02-997-7004,,,,매주월요일,작은도서관,37.629489,127.054107,
79,월계문화정보도서관,22,노원구,서울특별시 노원구 월계로 319,02-991-0871,02-991-0882,www.nowonlib.kr/,,둘째주 넷째주 월요일 및 법정공휴일,공공도서관,37.628605,127.056108,
 <p>,,,,,,,,,,,,,
" 	<strong>월계문화정보도서관</strong>은 지역주민의 문화시설 확충을 위해 서울특별시 노원구가 설립하고 <span style=""color: rgb(0 0 255);""><span style=""background-color: rgb(250 235 215);"">노원교육복지재단</span></span>에서 위탁 경영하여 창의성 확보 및 예산절감을 극대화하고자 민간경영기법을 도입하여 위탁운영하는 &quot;21세기 지식정보화를 선도하는 유비쿼터스 도서관&quot; 입니다.</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	21세기 지식정보화시대가 도래하면서 시민들의 다양한 정보욕구가 확산되고 지식수요가 증대함으로써 공공도서관도 이러한 영향으로 정보제공 영역과 평생학습 기회 그리고 문화학습 체험 공간 등으로 기능을 확대해가고 있습니다.</p>",,,,,,,,,,,,,
 <p>,,,,,,,,,,,,,
" 	정보전달 매체 변화와 발맞추어 정보접근 및 이용기회 확대에 주안점을 두어 이용자에게 다양한 교육과 정보자원을 제공하고 적극적으로 이용자의 정보요구를 처리하는 정보기관으로서의 임무를 수행하고자 합니다.</p>",,,,,,,,,,,,,
" """,20071227,"-대상 : 만3세 이상 서울특별시민(주민등록상 거주지가 서울특별시로 되어 있는 자) 타 시/도 거주자 중 서울시 소재 직장 재직 또는 재학자  -구비서류 : 신분증 (현주소지 확인이 가능한 주민등록증/운전면허증)  ※ 18세미만인 경우 학생증+주민등록등본 (학생증으로 주소지확인이 불가능한 경우 주민등록등본 지참 홈페이지 회원가입시 보호자 동의 필요)   -보호자의 대리 가입(가족에 한해 발급) : 보호자 신분증 가입자 증명사진 가족관계를 증명할 수 있는 서류  (주민등록등본/가족관계증명서)  - 접수처 및 가입시간 : 1층 안내데스크 평일(09:00~17:00) 주말 (09:00~16:00)  - 회원증 발급 비용 : 1회당 1000원  - 문의 : ☎ 991-0871(내선 100)  ",1인 회원 3권 14일  연기 7일,"- 지 하 철 : 1호선 월계역 남측 출구 이용 ⇒ 인덕대 방향으로 300m - 일반버스 : 1137 1140 인덕삼거리 하차 - 마을버스 : 09번  인덕삼거리 하차","1층 - 모자.어린이열람실 2층 - ERC.KRC열람실 3층 - 디지털종합자료실 연속간행물실 4층 - 일반열람실",,,,,,,,
1870,육사작은도서관,22,노원구,서울특별시 노원구 화랑로 564 ,02-950-6122,,,,일요일 법정공휴일,작은도서관,37.622057,127.089614,
1716,을지대학교 을지병원 의학도서실,22,노원구,서울특별시 노원구 한글비석로 68 을지병원 도서실,02-970-8445,,http://lib.eulji.ac.kr/EMC/,,토요일 일요일 법정공휴일,,37.636329,127.069707,
1715,인제대학교 상계백병원 의학도서실,22,노원구,서울특별시 노원구 동일로 1353 성일빌딩 5층,02-950-1384,,http://www.paik.ac.kr/club/part01_vi.asp?p_cid=104&p_hp=JA&p_buseo=DEPT_C ,,토요일 일요일 법정공휴일,,37.649383,127.061541,
380,작고행복한청구3차도서관,22,노원구,서울특별시 노원구 중계로 233 청구3차아파트 관리동2층,02-935-8046,930-8272,,,토 일요일공휴일,작은도서관,37.6505833,127.073938,20100720
361,중계사랑 북카페,22,노원구,서울특별시 노원구 덕릉로82길 50 중계4동주민센터,02-2116-2702,2116-4681,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6594216,127.077901,19930501
372,중계주공10단지책과친구들,22,노원구,서울특별시 노워구 노원로22길 53 주공10단지아파트관리사무소,,,,,토 일 법정공휴일,작은도서관,37.6486965,127.073132,20060905
358,책누리작은도서관,22,노원구,서울특별시 노원구 중계로 143 중계본동주민센터,02-2116-2612,2116-4678,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6484429,127.080321,19960101
359,책사랑북카페,22,노원구,서울특별시 노원구 한글비석로 279 중계1동주민센터,02-2116-2642,2116-4679,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6531738,127.077471,20080101
355,책이랑친구랑작은도서관,22,노원구,서울특별시 노원구 노원로1길 68 공릉2동주민센터,02-2116-2522,2116-4675,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6219182,127.083348,19970501
1453,초안산숲속작은도서관,22,노원구,서울특별시 노원구 덕릉로 60길 199 초안산숲속작은도서관,02-905-3900,02-905-3908,www.nowonlib.kr,,일요일,작은도서관,37.6328701,127.044481,20140930
1617,파랑새작은도서관,22,노원구,서울특별시 노원구 상계로 118 상계2동주민센터 2층,02-2116-2762,,,,매주 일요일,작은도서관,37.6574834,127.0678636,
362,푸른숲 작은도서관,22,노원구,서울특별시 노원구 동일로 1697 상계1동주민센터,02-2116-2732,2116-4682,www.nowonlib.kr,,토 일 법정공휴일,작은도서관,37.6804732,127.054862,19971201
1301,하늘작은도서관,22,노원구,서울특별시 노원구 노원로 17길 56 중계23동 주민센터,02-2116-2672,2116-4680,http://www.nowonlib.kr/,,일요일,작은도서관,37.6427406,127.068689,19960101
373,하늘품작은도서관,22,노원구,서울특별시 노원구 상계로23다길 33 지하1층,070-7758-0323,938-0321,cafe.daum.net/sky.library,,토요일일요일공휴일,작은도서관,37.6608265,127.070081,20000328
374,한길문고,22,노원구,서울특별시 노원구 한글비석로49길 63 4층 102호,02-931-7234,931-7234,,,월 일요일공휴일,작은도서관,37.6624164,127.066149,20060724
381,한울문고,22,노원구,서울특별시 노원구 누원로 28 수락리버시티3단지 주민공동시설,02-3392-1116,930-3365,,,화 목 토 일 법정공휴일,작은도서관,37.6880574,127.053558,20100112
369,한울작은도서관,22,노원구,서울특별시 노원구 한글비석로 487 상계9동주민센터 2층,02-2116-2912,2116-4688,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6651749,127.063809,19930501
366,해솔작은도서관,22,노원구,서울특별시 노원구 한글비석로 434 상계5동주민센터,02-2116-2822,2116-4685,www.nowonlib.kr,,일요일 법정공휴일,작은도서관,37.6639965,127.069348,19970501
1873,꿈을심는 작은도서관,23,도봉구,서울특별시 도봉구 우이천로 38 라길 28-4,02-992-4106,,http://www.unilib.dobong.kr/,,공휴일,작은도서관,37.652926,127.024133,
1449,나눔플러스 아름인도서관,23,도봉구,서울특별시 도봉구 도봉로109길 40,02-997-5579,,http://www.unilib.dobong.kr/,,토일요일,작은도서관,37.6474555,127.031129,20131120
397,도봉1동작은도서관,23,도봉구,서울특별시 도봉구 도봉로169나길 22 도봉1동 주민센터 2층,02-2091-5912,,http://www.unilib.dobong.kr/,,매주토요일및일요일 휴일,작은도서관,37.678719,127.043501,19980325
398,도봉2동작은도서관,23,도봉구,서울특별시 도봉구 마들로 668 도봉2동 주민센터 2층,02-2091-5913,,http://www.unilib.dobong.kr/,,매주토요일및일요일 휴일,작은도서관,37.669659,127.046569,19950804
1840,도봉기적의도서관,23,도봉구,서울특별시 도봉구 마들로 797,02-3493-7171,,http://www.unilib.dobong.kr/,,매주화요일및법정공휴일,공공도서관,37.680824,127.050145,
35,도봉문화정보도서관,23,도봉구,서울특별시 도봉구 덕릉로 315,02-900-1835,02-900-1551,http://www.unilib.dobong.kr/,,매주화요일및법정공휴일,공공도서관,37.644503,127.043888,20011009
95,도봉아이나라도서관,23,도봉구,서울특별시 도봉구 노해로 69길 151,02-995-4171~2,02-995-1600,http://www.unilib.dobong.kr/,,매주화요일및법정공휴일,공공도서관,37.658955,127.049468,20080401
1839,둘리도서관,23,도봉구,서울특별시 도봉구 시루봉로1길 6,02-990-2200,,http://www.unilib.dobong.kr/,,매주월요일및법정공휴일,공공도서관,37.652213,127.027686,
1308,라온제나 작은도서관,23,도봉구,서울특별시 도봉구 우이천로20길 7 건영캐스빌아파트,02-902-4262,,,,없음,작은도서관,37.6419054,127.033953,20120330
1874,맑은샘 작은도서관,23,도봉구,서울특별시 도봉구 도봉로 145길 69,070-756-06913,,http://www.unilib.dobong.kr/,,월일요일공휴일,작은도서관,37.66455363,127.0386032,
